Who,StudyID,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,SD,N,N_Assumed ,SerumLevel,SL_SD,SL_SE,SL_Units,HDL_Chol,HDL_SD,HDL_Units,NonHDL_C,NonH_Units,LDL_Chol,LDL_SD,LDL_Units,Hypercholesterolemia_Prev,Triglyceride_Chol,Triglyceride_SD,Triglyceride_Units,Apo_A1,AA_Units,ApoB,ApoB_SD,AB_Units,Lp_a,Lpa_Units,,,
West_African,NIG3,Nigerian,M,22,22-44,44,NA,NA,23,Y,190.1,64.9,NA,mg/dL,71.3,32,mg/dL,NA,,90.7,63.4,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,M,55,55-64,64,NA,NA,23,Y,258.2,101.5,NA,mg/dL,84.9,30.5,mg/dL,NA,,140.1,98.2,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,M,45,45-54,54,NA,NA,23,Y,219.9,76.8,NA,mg/dL,91.2,27.7,mg/dL,NA,,96.4,82.5,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,M,65,>65,,NA,NA,23,Y,260,108,NA,mg/dL,96.6,25,mg/dL,NA,,131.3,110.1,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,F,22,22-44,44,NA,NA,26,Y,174.4,75.1,NA,mg/dL,62.4,34.6,mg/dL,NA,,83.6,67.1,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,F,55,55-64,64,NA,NA,26,Y,228.6,75.6,NA,mg/dL,77.6,32.5,mg/dL,NA,,116.8,75.5,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,F,45,45-54,54,NA,NA,26,Y,252.4,87.1,NA,mg/dL,85.2,14.9,mg/dL,NA,,130.1,79.1,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
West_African,NIG3,Nigerian,F,65,>65,,NA,NA,26,Y,255.1,58.3,NA,mg/dL,91.2,20,mg/dL,NA,,121.5,72,mg/dL,NA,NA,NA,,NA,,NA,,,NA,,,,
Phoebe ,ABU1,Abuja,M,,,,,,77,N,184,49.1,,mg/dL,51.6,12.1,mg/dl,,,113,44.5,mg/dl,,111,59.5,mg/dl,,,,,,,,"Total cholesterol (end-point colorimetric), HDL(Kodak Vitros Cholesterol slides), Triglycerides (Vitros Analyzer)",,
KIKI,AIN1-A ,"American Indians (""normal"")",M/F,18,18+,,46,13,1086,N,210,40,,mg/dL,50,14,mg/dL,,,127,36,mg/dL,,163,111,mg/dl,148,26,126,30,mg/dl,,,,,
KIKI,AIN1-B,American Indians (with Microalbuminuria),M/F,18,18+,,53,15,240,N,215,42,,mg/dL,48,13,mg/dL,,,130,36,mg/dL,,193,136,mg/dl,148,26,133,3,mg/dl,,,,,
KIKI,AIN1-C,American Indians (with Macroalbuminuria),M/F,18,18+,,60,12,42,N,129,41,,mg/dL,50,24,mg/dL,,,129,41,mg/dL,,208,121,mg/dl,151,26,135,36,mg/dl,,,,,
Emily,AIN3-A,American Indians in Arizona,F,45,45-74,74,56,8,954,N,4.68,1.09,,mmol/L,,,,,,,,,,1.73,1.2,mmol/L,,,,,,,,,,
Emily,AIN3-A,American Indians in Arizona,M,45,45-74,74,55,8,546,N,4.58,1.09,,mmol/L,,,,,,,,,,1.8,2.08,mmol/L,,,,,,,,,,
Emily,AIN3-B,American Indians in Oklahoma,F,45,45-74,74,57,8,885,N,5.06,0.96,,mmol/L,,,,,,,,,,1.66,1.15,mmol/L,,,,,,,,,,
