"StudyID","Who","Population","Sex","HDL_Chol","SerumLevel","Age_LL","Age","Age_UL","Mean_Age","SD","N","N_Assumed","SL_SD","SL_SE","SL_Units","HDL_SD","HDL_Units","NonHDL_C","NonH_Units","LDL_Chol","LDL_SD","LDL_Units","Hypercholesterolemia_Prev","Triglyceride_Chol","Triglyceride_SD","Triglyceride_Units","Apo_A1","AA_Units","ApoB","ApoB_SD","AB_Units","Lp_a","Lpa_Units","Population_pop","Who_pop","Article_link","CrudeName","EthnicGroup","EthnicGroup_Notes","Subpopulation","Other_Classification","Location","Biome","Country","Lattitude","Longitude","Region","Sedentary","AcculturationLevel","ReferenceSource","SerumLevel_mg_dL","SL_SD_mg_dL","SL_SE_mg_dL","HDL_Chol_mg_dL","HDL_SD_mg_dL","LDL_Chol_mg_dL","LDL_SD_mg_dL","Triglyceride_Chol_mg_dL","Triglyceride_SD_mg_dL","Ancestry","Heritability","ANCESTRY","study_ID_Ancestry"
"ABU1","Phoebe","Abuja","M",51.6,184,"","","",NA,NA,"77","N",49.1,NA,"mg/dL",12.1,"mg/dl",NA,"",113,44.5,"mg/dl",NA,111,59.5,"mg/dl",NA,"",NA,"","",NA,"","Abuja","Phoebe","","Abuja","Abuja","","","urban","Abuja","Temperate Shrubland","Northern Nigeria","9.0765","7.3986","Africa",NA,"Integrated","Serum Lipid Profiles and Risk of Cardiovascular Disease in Three Different Male Population in Northern Nigeria",184,49.1,NA,51.6,12.1,113,44.5,111,59.5,NA,NA,"West_African","ABU1"
"AIN1-A","KIKI","American Indians (""""normal"""")","M/F",50,210,"18","18+","","46","13","1086","N",40,NA,"mg/dL",14,"mg/dL",NA,"",127,36,"mg/dL",NA,163,111,"mg/dl","148","26","126","30","mg/dl",NA,"","Menominee","KIKI, ASHLEY","AIN1","American Indian","Menominee","Native American tribe name-- matches D-place and o other name found","","Normal","Menominee reservation","Temperate Rainforest","United States","48.19663","-95.01431","North America","Yes","Integrated","Kaisiske """"American Indian heritage and risk factors for renal injury""""",210,40,NA,50,14,127,36,163,111,NA,NA,NA,NA
"AIN1-B","KIKI","American Indians (with Microalbuminuria)","M/F",48,215,"18","18+","","53","15","240","N",42,NA,"mg/dL",13,"mg/dL",NA,"",130,36,"mg/dL",NA,193,136,"mg/dl","148","26","133","3","mg/dl",NA,"","Menominee","KIKI","AIN1","American Indian","Menominee","Native American tribe name-- matches D-place and o other name found","","with Microalbuminuria","Menominee reservation","Temperate forest","United States","48.19663","-95.01431","North America","Yes","Integrated","Kaisiske """"American Indian heritage and risk factors for renal injury""""",215,42,NA,48,13,130,36,193,136,NA,NA,"American_Indian","AIN1-B"
"AIN1-C","KIKI","American Indians (with Macroalbuminuria)","M/F",50,129,"18","18+","","60","12","42","N",41,NA,"mg/dL",24,"mg/dL",NA,"",129,41,"mg/dL",NA,208,121,"mg/dl","151","26","135","36","mg/dl",NA,"","Menominee","KIKI","AIN1","American Indian","Menominee","Native American tribe name-- matches D-place and o other name found","","with Macroalbuminuria","Menominee reservation","Temperate forest","United States","48.19663","-95.01431","North America","Yes","Integrated","Kaisiske """"American Indian heritage and risk factors for renal injury""""",129,41,NA,50,24,129,41,208,121,NA,NA,"American_Indian","AIN1-C"
"AIN3-A","Emily","American Indians in Arizona","M",NA,4.58,"45","45-74","74","55","8","546","N",1.09,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.8,2.08,"mmol/L",NA,"",NA,"","",NA,"","American Indians in Arizona","Emily","AIN3","American Indian","Pima, Maricopa, and Tohono O'odham (Papago) of Central Arizona","","","","Arizona","desert","United States","33.161233","-111.922051","North America",NA,"Semi-acculturated","Hypertension in Adult American Indians",177.1086,42.1503,NA,NA,NA,NA,NA,159.426,184.2256,NA,NA,"American_Indian","AIN3-A"
"AIN3-A","Emily","American Indians in Arizona","F",NA,4.68,"45","45-74","74","56","8","954","N",1.09,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.73,1.2,"mmol/L",NA,"",NA,"","",NA,"","American Indians in Arizona","Emily","AIN3","American Indian","Pima, Maricopa, and Tohono O'odham (Papago) of Central Arizona","","","","Arizona","desert","United States","33.161233","-111.922051","North America",NA,"Semi-acculturated","Hypertension in Adult American Indians",180.9756,42.1503,NA,NA,NA,NA,NA,153.2261,106.284,NA,NA,"American_Indian","AIN3-A"
"AIN3-B","Emily","American Indians in Oklahoma","M",NA,4.99,"45","45-74","74","56","8","642","N",0.91,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.7,1.41,"mmol/L",NA,"",NA,"","",NA,"","American Indians in Oklahoma","Emily","AIN3","American Indian","the seven tribes of southwestern Oklahoma (Apache, Caddo, Comanche, Delaware, Fort Sill Apache, Kiowa, Wichita)","","","","Oklahoma","grasslands","United States","34.586066","-98.451858","North America",NA,"Integrated","Hypertension in Adult American Indians",192.9633,35.1897,NA,NA,NA,NA,NA,150.569,124.8837,NA,NA,"American_Indian","AIN3-B"
"AIN3-B","Emily","American Indians in Oklahoma","F",NA,5.06,"45","45-74","74","57","8","885","N",0.96,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.66,1.15,"mmol/L",NA,"",NA,"","",NA,"","American Indians in Oklahoma","Emily","AIN3","American Indian","the seven tribes of southwestern Oklahoma (Apache, Caddo, Comanche, Delaware, Fort Sill Apache, Kiowa, Wichita)","","","","Oklahoma","grasslands","United States","34.586066","-98.451858","North America",NA,"Integrated","Hypertension in Adult American Indians",195.6702,37.1232,NA,NA,NA,NA,NA,147.0262,101.8555,NA,NA,"American_Indian","AIN3-B"
"AIN3-C","Emily","American Indians in North/South Dakota","F",NA,5.22,"45","45-74","74","57","8","864","N",1.03,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.68,1.46,"mmol/L",NA,"",NA,"","",NA,"","American Indians in South Dakota and North Dakota","Emily","AIN3","American Indian","the Oglala and Cheyenne River Sioux in South Dakota, the Devils Lake Sioux in the Fort Totten area of North Dakota","","","","South Dakota and North Dakota","grasslands","United States","45.137897","-101.094677","North America",NA,"Semi-acculturated","Hypertension in Adult American Indians",201.8574,39.8301,NA,NA,NA,NA,NA,148.7976,129.3122,NA,NA,"American_Indian","AIN3-C"
"AIN3-C","Emily","American Indians in North/South Dakota","M",NA,5.15,"45","45-74","74","56","8","658","N",1.11,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.68,2.62,"mmol/L",NA,"",NA,"","",NA,"","American Indians in South Dakota and North Dakota","Emily","AIN3","American Indian","the Oglala and Cheyenne River Sioux in South Dakota, the Devils Lake Sioux in the Fort Totten area of North Dakota","","","","South Dakota and North Dakota","grasslands","United States","45.137897","-101.094677","North America",NA,"Semi-acculturated","Hypertension in Adult American Indians",199.1505,42.9237,NA,NA,NA,NA,NA,148.7976,232.0534,NA,NA,"American_Indian","AIN3-C"
