study_ID_Ancestry,StudyID,Who,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,N,Population_pop,Who_pop,Article_link,CrudeName,EthnicGroup,EthnicGroup_Notes,Subpopulation,Other_Classification,Location,Biome,Country,Lattitude,Longitude,Region,Sedentary,AcculturationLevel,ReferenceSource,SerumLevel_mg_dL,SL_SD_mg_dL,SL_SE_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY
ABU1,ABU1,Phoebe,Abuja,M,,,,NA,77,Abuja,Phoebe,,Abuja,Abuja,,,urban,Abuja,Temperate Shrubland,Northern Nigeria,9.0765,7.3986,Africa,NA,Integrated,Serum Lipid Profiles and Risk of Cardiovascular Disease in Three Different Male Population in Northern Nigeria,184,49.1,NA,51.6,12.1,113,44.5,111,59.5,West_African
AIN1_A,AIN1-A,KIKI,"American Indians (""""normal"""")",M/F,18,18+,,46,1086,Menominee,"KIKI, ASHLEY",AIN1,American Indian,Menominee,Native American tribe name-- matches D-place and o other name found,,Normal,Menominee reservation,Temperate Rainforest,United States,48.19663,-95.01431,North America,Yes,Integrated,"Kaisiske """"American Indian heritage and risk factors for renal injury""""",210,40,NA,50,14,127,36,163,111,NA
AIN1_B,AIN1-B,KIKI,American Indians (with Microalbuminuria),M/F,18,18+,,53,240,Menominee,KIKI,AIN1,American Indian,Menominee,Native American tribe name-- matches D-place and o other name found,,with Microalbuminuria,Menominee reservation,Temperate forest,United States,48.19663,-95.01431,North America,Yes,Integrated,"Kaisiske """"American Indian heritage and risk factors for renal injury""""",215,42,NA,48,13,130,36,193,136,American_Indian
AIN1_C,AIN1-C,KIKI,American Indians (with Macroalbuminuria),M/F,18,18+,,60,42,Menominee,KIKI,AIN1,American Indian,Menominee,Native American tribe name-- matches D-place and o other name found,,with Macroalbuminuria,Menominee reservation,Temperate forest,United States,48.19663,-95.01431,North America,Yes,Integrated,"Kaisiske """"American Indian heritage and risk factors for renal injury""""",129,41,NA,50,24,129,41,208,121,American_Indian
AIN4_A,AIN4-A,EM,Arizona American Indians,F,45,45-74,74,56.2,954,American Indians in Arizona,EM,AIN4,American Indian,Pima/Maricopa/Papago,,,,"Gila River, Salt River, Ak-Chin Indian communities",Warm-temperate desert,United States of America,33.2,-112,North America,NA,Semi-acculturated,"""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",181.2,41.5,NA,45.4,11.3,104.7,32.3,130.3,NA,American_Indian
AIN4_A,AIN4-A,EM,Arizona American Indians,M,45,45-74,74,54.9,546,American Indians in Arizona,EM,AIN4,American Indian,Pima/Maricopa/Papago,,,,"Gila River, Salt River, Ak-Chin Indian communities",Warm-temperate desert,United States of America,33.2,-112,North America,NA,Semi-acculturated,"""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",176.6,42.5,NA,43.7,14.3,101.8,32,125.2,NA,American_Indian
AIN4_B,AIN4-B,EM,Oklahoma American Indians,F,45,45-74,74,57.2,885,American Indians in Oklahoma,EM,AIN4,American Indian,Apache/Caddo/Comanche/Delaware/Fort Sill Apache/Kiowa/Wichita,,,,Southwestern Oklahoma,Grassland,United States of America,34.89,-98.36,North America,NA,Integrated,"""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",195.7,36.9,NA,49.4,13.6,115,31.8,125.2,NA,American_Indian
AIN4_B,AIN4-B,EM,Oklahoma American Indians,M,45,45-74,74,56.3,642,American Indians in Oklahoma,EM,AIN4,American Indian,Apache/Caddo/Comanche/Delaware/Fort Sill Apache/Kiowa/Wichita,,,,Southwestern Oklahoma,Grassland,United States of America,34.89,-98.36,North America,NA,Integrated,"""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",192.8,35.4,NA,41.6,11.9,119.6,32.5,126.5,NA,American_Indian
AIN4_C,AIN4-C,EM,SD/ND American Indians,M,45,45-74,74,56.2,658,American Indians in North/South Dakota,EM,AIN4,American Indian,Oglala/Cheyenne River Sioux/Devil's Lake Sioux,,,,South Dakota; Fort Totten area of North Dakota,Grassland,United States of America,46,-99,North America,NA,Semi-acculturated,"""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",198.7,43,NA,43.8,14.2,121.8,32.6,113.3,NA,American_Indian
AIN4_C,AIN4-C,EM,SD/ND American Indians,F,45,45-74,74,56.6,864,American Indians in North/South Dakota,EM,AIN4,American Indian,Oglala/Cheyenne River Sioux/Devil's Lake Sioux,,,,South Dakota; Fort Totten area of North Dakota,Grassland,United States of America,46,-99,North America,NA,Semi-acculturated,"""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",201.7,39.7,NA,48.5,14.1,120.3,33.5,122.7,NA,American_Indian
ALA1,ALA1-A,Victoria,Alaskan Native,M/F,18,18+,,39.1,2650,Alaskan Native,Victoria,ALA1-A,Alaskan Native,Alaskan Native,,,Alaskan Native community of the Yukon-Kuskokwim region,western Alaska,Arctic Tundra,Alaska,63.433318,-166.552734,North America,Yes,Integrated,,207.5,44.1,NA,60.3,17.8,128.2,38.5,95.1,61,Circumpolar
ALA1,ALA1-B,Victoria,Alaskan Native,M/F,18,18+,,43.1,1919,Alaskan Native,Victoria,ALA1-B,Alaskan Native,Alaskan Native,,,Alaskan Native community of the Norton Sound region,western Alaska,Arctic Tundra,Alaska,63.8428,-164.268,North America,Yes,Integrated,,206.9,429,NA,58.2,17.9,126.8,41.6,111.7,83.5,Circumpolar
AMER3_a,AMER3-A,Emily,Peruvian Amerindian (1999),F,20,20-59,59,41,73,Peruvian Amerindian,Emily,AMER3-A,Peruvian Amerindian,Peruvian Amerindian,,,data collected from 1999 survey,"Lima, Peru",,Peru,,,South America,NA,Integrated,Serum cholestryl fatty acid composition and plasma glucose concentrations in Amerindian women,NA,NA,NA,39.59808,8.8941,NA,NA,129.3122,70.856,NA
Asian,Asian,BENJA,Asian,Overall,NA,NA,NA,NA,3816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,NA,Overall,,204.951,34.803,NA,54.138,15.468,123.744,30.936,133.125,79.875,other
AUA15,AUA15,Emily,Tiwi,M/F,15,15+,,33,1187,Indigenous Australians,Emily,AUA15,Tiwi,Tiwi,,,,Tiwi Islands Bathurst and Melville,", woodland",Australia,-11.707897,130.820859,Australia,NA,NA,"The independent associations of HbA1c, C-reactive protein and birth weight with cardiovascular disease, diabetes mellitus and chronic kidney disease
in a remote Indigenous Australian community:
A prospective cohort study",181.749,NA,NA,46.404,NA,98.6085,NA,132.855,NA,Australian_Aboriginal
AUA2,AUA2,AYANA,Australian Aborigines,M/F,18,18+,,NA,50,Australian Aborigines,"AYANA, ASHLEY",AUA2,Australian Aboriginals,Australian Aborigines,"References do not include any additional population names-- only classified as australian aborigines. Based on yarmir v. australia there are 4 populations there. Not sure which to classiy as. Described in the amended Native Title Determination Application as the
Mandilarri-Ildugij, Mangalarra, Muran, Gadurra, Minaga, Ngayndjagar and
Mayorram peoples under the wider classification of australian aborigines",,,Minjilang; Croker Island,Savanna,Australia,-11.14879,132.58001,Australia,Yes,Semi-acculturated,"M. Orr, et al. """"A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"""" ",NA,NA,NA,211.1382,35.1897,NA,NA,NA,NA,Australian_Aboriginal
AUA2,AUA4,EM,Australian Aborigines,F,35,,,NA,325,Australian Aborigines,EM,AUA4,Australian Aborigines,Australian Aborigines,Includes Australian Aborigines and Torres Strait Islander populations,,,Yilli Rreung Aboriginal and Torres Strait Islander Commission Region,Savanna,Australia,-12.44,130.84,Australia,NA,Semi-acculturated,"""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",201.084,35.9631,NA,45.6306,13.1478,123.744,31.7094,144.3691,NA,Australian_Aboriginal
AUA2,AUA4,EM,Australian Aborigines,M,15,15-34,34,NA,130,Australian Aborigines,EM,AUA4,Australian Aborigines,Australian Aborigines,Includes Australian Aborigines and Torres Strait Islander populations,,,Yilli Rreung Aboriginal and Torres Strait Islander Commission Region,Savanna,Australia,-12.44,130.84,Australia,NA,Semi-acculturated,"""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",192.5766,45.2439,NA,42.9237,11.601,121.0371,37.8966,124.8837,NA,Australian_Aboriginal
AUA2,AUA4,EM,Australian Aborigines,F,15,15-35,34,NA,264,Australian Aborigines,EM,AUA4,Australian Aborigines,Australian Aborigines,Includes Australian Aborigines and Torres Strait Islander populations,,,Yilli Rreung Aboriginal and Torres Strait Islander Commission Region,Savanna,Australia,-12.44,130.84,Australia,NA,Semi-acculturated,"""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",178.6554,35.1897,NA,46.0173,12.7611,110.2095,32.0961,101.8555,NA,Australian_Aboriginal
AUA2,AUA4,EM,Australian Aborigines,M,35,,,NA,142,Australian Aborigines,EM,AUA4,Australian Aborigines,Australian Aborigines,Includes Australian Aborigines and Torres Strait Islander populations,,,Yilli Rreung Aboriginal and Torres Strait Islander Commission Region,Savanna,Australia,-12.44,130.84,Australia,NA,Semi-acculturated,"""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",206.8845,51.4311,NA,39.0567,11.2143,122.9706,39.8301,193.0826,NA,Australian_Aboriginal
