StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
GHA4,Phoebe,Ghanaian,M,94,Desert,Ghana,10.7548,-0.187,Africa,117.5568,NA,NA,NA,NA,NA,NA,NA,West_African,GHA4
GHA4,Phoebe,Ghanaian,F,172,Desert,Ghana,10.7548,-0.187,Africa,125.2908,NA,NA,NA,NA,NA,NA,NA,West_African,GHA4
NA,Benja,TURKANA_pastoralist,Overall,557,desert,Kenya,3,NA,Africa,152,33,61.8,15.7,71.4,30.8,NA,NA,TURKANA_pastoralist,TURKANA_pastoralist
BAN5,ABIGAIL,Bantu,M,9,Grassland,South Africa,-29,31,Africa,66,17,NA,NA,NA,NA,NA,NA,Bantu,BAN3
BAN5,ABIGAIL,Bantu,M,6,Grassland,South Africa,-29,31,Africa,68,12,NA,NA,NA,NA,NA,NA,Bantu,BAN3
BAN5,ABIGAIL,Bantu,M,16,Grassland,South Africa,-29,31,Africa,73,19,NA,NA,NA,NA,NA,NA,Bantu,BAN3
BAN5,ABIGAIL,Bantu,M,57,Grassland,South Africa,-29,31,Africa,75,20,NA,NA,NA,NA,NA,NA,Bantu,BAN3
BAN5,ABIGAIL,Bantu,M,26,Grassland,South Africa,-29,31,Africa,80,21,NA,NA,NA,NA,NA,NA,Bantu,BAN3
ZUL1,EM,Zulu,M,189,Grassland,South Africa,-27.57,32.08,Africa,154.68,38.67,47.9508,17.0148,85.074,38.67,97.427,61.999,Bantu,ZUL1
ZUL1,EM,Zulu,F,758,Grassland,South Africa,-27.57,32.08,Africa,158.547,42.537,47.9508,14.6946,92.808,34.803,88.57,61.999,Bantu,ZUL1
KEN2,Phoebe,Kenyan,M/F,1336,grassland,Kenya,-0.0236,37.9026,Africa,170.148,42.537,NA,NA,NA,NA,NA,NA,East_African,KEN2
HAD4-A,EM,Hadza,M,6,Savanna,Tanzania,-3.58,35,Africa,77,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
HAD4-A,EM,Hadza,M,6,Savanna,Tanzania,-3.58,35,Africa,82.5,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
HAD4-B,EM,Hadza,M,15,Savanna,Tanzania,-3.58,35,Africa,89.3,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
HAD4-A,EM,Hadza,F,1,Savanna,Tanzania,-3.58,35,Africa,91,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
HAD4-C,EM,Hadza,F,6,Savanna,Tanzania,-3.58,35,Africa,93,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
HAD4-D,EM,Hadza,M,28,Savanna,Tanzania,-3.58,35,Africa,94.1,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
HAD4-B,EM,Hadza,M,19,Savanna,Tanzania,-3.58,35,Africa,95.6,NA,NA,NA,NA,NA,NA,NA,East_Africa_HG,HAD4-A
