BLV,Who,StudyID,Article link,CrudeName,EthnicGroup,EthnicGroup_Notes,Population,Subpopulation,Other_Classification,Location,DPlaceID,DPlaceID_2,DPlaceID_3,DPlaceID_4,DPlaceID_5,Biome,Country,Lattitude,Longitude,Region,PubDate,TimeFrame,EconBase_TOS,ECONNOTES,EconBase_TRAD,Sedentary,AcculturationLevel,Acculturation_quant,AccNotes,DietStaples,SmokingNotes,AlcoholNotes,ReferenceSource,Notes,AdditionalSources
"1,3,6","KIKI, ASHLEY",AIN1-A,AIN1,American Indian ,Menominee,Native American tribe name-- matches D-place and o other name found,Menominee ,,Normal,Menominee reservation,Nf9,,,,,Temperate Rainforest ,United States ,48.19663,-95.01431,North America,1998,1992-1994,W,"Traditionally, the Menominee relied on hunted and gathered food resources, but also maintained small gardens of corn, beans, and squash",HG,sedentary,acculturated,3,30% non-native employed on reservation according to online source,,"85.4% said they had ever smoked at least 100 ciga- rettes during their lifetime, 64.5% were smoking at the time of interview",over 50% of pop. smoke ,"Kaisiske ""American Indian heritage and risk factors for renal injury""",,https://www.mpm.edu/plan-visit/educators/wirp/nations/menominee
"1,3,6",KIKI,AIN1-B,AIN1,American Indian ,Menominee,Native American tribe name-- matches D-place and o other name found,Menominee ,,with Microalbuminuria,Menominee reservation,Nf9,,,,,Temperate forest,United States ,48.19663,-95.01431,North America,1998,1992-1995,W,"Traditionally, the Menominee relied on hunted and gathered food resources, but also maintained small gardens of corn, beans, and squash",HG,sedentary,acculturated,3,30% non-native employed on reservation according to online source,,"85.4% said they had ever smoked at least 100 ciga- rettes during their lifetime, 64.5% were smoking at the time of interview",,"Kaisiske ""American Indian heritage and risk factors for renal injury""",,https://www.mpm.edu/plan-visit/educators/wirp/nations/menominee
"1,3,6",KIKI,AIN1-C,AIN1,American Indian ,Menominee,Native American tribe name-- matches D-place and o other name found,Menominee ,,with Macroalbuminuria,Menominee reservation,Nf9 ,,,,,Temperate forest,United States ,48.19663,-95.01431,North America,1998,1992-1996,W,"Traditionally, the Menominee relied on hunted and gathered food resources, but also maintained small gardens of corn, beans, and squash",HG,sedentary,acculturated,3,30% non-native employed on reservation according to online source,,"85.4% said they had ever smoked at least 100 ciga- rettes during their lifetime, 64.5% were smoking at the time of interview",,"Kaisiske ""American Indian heritage and risk factors for renal injury""",,https://www.mpm.edu/plan-visit/educators/wirp/nations/menominee
"1,6",AYANA,AMA1-A,AMA1,Amazonian ,Quilombos or Apinaye,"population name in paper used for naming escaped slaves- other name listed based on d-place location search. Referenced populations include: caboclo, no mention of an actual popualtion name, references in spanish. Apinaye in d place",Quilombos,,Traditional Amazonian ,Quilombos,Sj7,,,,,Tropical Rainforest ,Brazil ,-5.975315,-49.0705,South America,2016,2008-2014,FG,"They practice mainly subsistence agriculture, fishing, extraction of natural products, production of handicrafts for sale and small animal husbandry for survival (Brasil, 2007b; Oliveira, 2011). In recent years the quilombolas also started to receive the Bolsa Famılia, which became an important source of cash to many families (Guimar~aes & Silva, 2015; Oliveira, 2011).",,sedentary ,acculturated,4,Based on amount of consumer goods in home,,,,"""Obesity, hypertension, social determinants of health and the epidemiologic transition among traditional Amazonian populations"" Silva et.al.",Quilombos are escaped African slaves and are a self-proclaimed ethnographic group. What would be the best classification for these? They do no texist in the D-place database. ,https://www.wilsoncenter.org/article/quilombola-communities-brazil
"1,6",AYANA,AMA1-B,AMA1,Amazonian ,Ticuna or Cocama,"Referenced Caboclo from prior studies-- assume caboclo. D-place is approximate location match. Caboclo is a name for mixed indigenous, not specific enough ",Caboclo; Ticuna; Cambeba; Cocama,,Traditional Amazonian ,Mamirauá ,Se2,Se10,,,,Tropical Rainforest ,Brazil ,-5.625553,-65,South America,2016,2008-2014,H,"They have lifestyles strongly dependent on subsistence activities such as agriculture of manioc (Manihot esculenta) and beans and corn, artisanal fishery for domestic consumption and sale, collection of forest products for consumption and sale in the local towns and small animal husbandry. They also maintain regular contacts with regional markets and participate in temporary jobs in the ecotourism activities and provide support to scientific research (Filgueiras & Silva, 2013; Lisboa et al., 2013; Moura, 2007, 2010; Piperata, 2007; Piperata et al., 2011, 2013; Silva, 2001, 2011; Silveira et al., 2013). In the last decade, these groups have also benefitted from several social programmes of the federal government, such as retirements and rural pensions, and Bolsa Famılia (a federal welfare programme); the impact of these programmes on health has not yet been fully evaluated (Brasil, 2009, 2010; Ivanova & Piperata 2010; Moura, 2007; Piperata et al., 2011, 2013).",H,sedentary ,semi-acculturated,2,Based on amount of consumer goods in home,,,,"""Obesity, hypertension, social determinants of health and the epidemiologic transition among traditional Amazonian populations"" Silva et.al.","Adults who are living in Mamirauá (a designated reserve) which may include the following populations- Caboclo, Ticuna, Cambeba and Cocama (see: https://en.wikipedia.org/wiki/Mamirauá_Sustainable_Development_Reserve) and D place ID listed is only for Ticuana and Cocama
""Mamiraua and Caxiuan~a exemplify traditional rural populations as they originated from and have lived in Amazonia
since the middle of the 19th Century. They are descendants
of the encounter of Amerindians with European settlers and
of Africans brought to Brazil as slaves, but who sometimes
escaped from urban centres and farms to distant places in
the jungle (Lima-Ayres, 1992; Silva, 2001).""",https://en.wikipedia.org/wiki/Mamirauá_Sustainable_Development_Reserve
"1,6",AYANA,AMA1-C,AMA1,Amazonian ,Arucara or Aricuru,"Per wiki page: Caxiuanã was once home to Arucará and Aricuru populations, both part of the Guaycuru people. ",Caxiuanã,,Traditional Amazonian ,Caxiuanã,,,,,,Tropical Rainforest ,Brazil ,-5.975315,-49.0705,South America,2016,2008-2014,H,"They have lifestyles strongly dependent on subsistence activities such as agriculture of manioc (Manihot esculenta) and beans and corn, artisanal fishery for domestic consumption and sale, collection of forest products for consumption and sale in the local towns and small animal husbandry. They also maintain regular contacts with regional markets and participate in temporary jobs in the ecotourism activities and provide support to scientific research (Filgueiras & Silva, 2013; Lisboa et al., 2013; Moura, 2007, 2010; Piperata, 2007; Piperata et al., 2011, 2013; Silva, 2001, 2011; Silveira et al., 2013). In the last decade, these groups have also benefitted from several social programmes of the federal government, such as retirements and rural pensions, and Bolsa Famılia (a federal welfare programme); the impact of these programmes on health has not yet been fully evaluated (Brasil, 2009, 2010; Ivanova & Piperata 2010; Moura, 2007; Piperata et al., 2011, 2013).",H,sedentary ,semi-acculturated,3,Based on amount of consumer goods in home,,,,"""Obesity, hypertension, social determinants of health and the epidemiologic transition among traditional Amazonian populations"" Silva et.al.","Caxiuanã was once home to Arucará and Aricuru populations, both part of the Guaycuru people (see: https://en.wikipedia.org/wiki/Caxiuanã_National_Forest) Now the national forest is sparsely populated. Not sure exactly how to best classify this population. 
Mamiraua and Caxiuan~a exemplify traditional rural populations as they originated from and have lived in Amazonia
since the middle of the 19th Century. They are descendants
of the encounter of Amerindians with European settlers and
of Africans brought to Brazil as slaves, but who sometimes
escaped from urban centres and farms to distant places in
the jungle (Lima-Ayres, 1992; Silva, 2001).",https://en.wikipedia.org/wiki/Caxiuanã_National_Forest
6,"KIKI, ASHLEY",AMER1-A,AMER1,Takanoan ,Tucano,"Tucano referenced explicitly in the paper. The Nukak sometimes work for the Tucano, but they are their own independent group. They are made up of many tribes and are multilingual because men marry outside the language, which explains mixing between tribes. Because of thi smxing between tribes, I classify as the broader Tocano",Tucanoa,,,Conambo,Se12,,,,,Tropical Rainforest,Colombia,0.64565,-70.56034,South America,2001,1976,H,horticulture listed as main energy source,H,sedentary,unacculturated,1,See study populations,"cassava, primary animal protein = fish",,,"C.M. Orr, et al. ""A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"" ",,
6,"KIKI, ASHLEY",AMER1-B,AMER1,Achuar,Shuar,D place reference is for the Shuar. There is a reference for 'Ecuadorian jungle Quickua' that are in Ecuador. Per the paper-- conambo had both achuar and quichua speakers who are the last descendents of the Zaparos. Achuar are the most descriptibve population name. Noted Shuar because that is the name referenced in D-place. Appears to be synonomous,Achuar,,,Montane; Amazon,Se3,,,,,Tropical Rainforest,Ecuador,-2,-78,South America,2001,1976,H,horticulture listed as main energy source,H,sedentary,unacculturated,1,See study populations,"cassava, primary animal protein = game animals",,,"C.M. Orr, et al. ""A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"" ",,
"1,3,4,6","AYANA, ASHLEY",AMO1,AMO1,Amondava,Amondawa,"Other names referenced: Ponapeans, urban bantu,yanomamo, xavante, yi, etc. but all just used as marers for comparison for scioeconomic status.No further classification identified. More widely referred to as Amondawa. They may alsoo be referred to as """"Amondauas, Bocas-negras, Bocas-pretas, Cabeça-vermelha, Cautários, Sotérios, Urupain,[1] as well as Jupaú, Black-Mouths, Red-Heads, Urueu-Wau-Wau' ",Amondava,,,Uru-Eu-Wau-Wau; Porto Velho,B45,SCCS174,SCCS177,SI4,Sj8,Tropical Rainforest ,Brazil ,-8.76194,-63.9038887,South America,1999,1997,FG,,FG,sedentary,unacculturated,1,"Study population- no piped water, electricity, TV, phone, transporation","Diet is very poor in animal fat and rich in dietary ®bres and complex carbohydrates (80 ± 85% of energy intake). The major components of their diet are rice and beans, maize (xixa), manioc, potatoes and wild vegetables. Meat and fish are eaten rarely.",No cigarettes,,"""Effects of a traditional lifestyle on the cardiovascular risk profile: the Amondava population of the Brazilian Amazon. Comparison with matched African, Italian and Polish populations"" Pavan et.al. ",,
"1,3,4,6",FION,AUA1-A,AUA1,Australian Aboriginals,Australian Aborigines,"References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ",Northern Aranda,Australian Aborigines ,(Albumin/Creatine Ratio 1 Group),Northern Territory Aboriginal Island,SCCS91,,,,,Savanna,Australia,-25.2744,133.7751,Austrailia,1998,1992-1995,W,,FG,sedentary,semi-acculturated,3,"unspecified changes due to ""westernization"" leading to poor health ",,75% of M/F adults,25% of M/F adults,"Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",,"https://www.encyclopedia.com/places/australia-and-oceania/australian-and-new-zealand-political-geography/aranda
https://www.britannica.com/topic/Aranda"
