UID,FRP,Previous_Box,NMR_Sample_map
2022-07-27_3477_10,YES,NMR_Box_1_1,NMR_B1_1
2022-07-28_3253_14,NA,NMR_Box_1_2,NMR_B1_2
2022-12-08_3639_13,YES,NMR_Box_1_3,NMR_B1_3
2022-12-08_3823_14,YES,NMR_Box_1_4,NMR_B1_4
2022-12-08_3849_19,YES,NMR_Box_1_5,NMR_B1_5
2022-12-09_3819_15,YES,NMR_Box_1_6,NMR_B1_6
2022-12-12_3616_20,YES,NMR_Box_1_7,NMR_B1_7
2022-12-12_3793_24,YES,NMR_Box_1_8,NMR_B1_8
2022-06-25_3305_16,YES,NMR_Box_1_9,NMR_B1_9
2022-12-08_3834_6,YES,NMR_Box_1_10,NMR_B1_10
2022-07-22_3288_10,YES,NMR_Box_1_11,NMR_B1_11
2022-07-27_2866_2,YES,NMR_Box_1_12,NMR_B1_12
2022-07-27_2874_16,YES,NMR_Box_1_13,NMR_B1_13
2022-07-27_2880_17,YES,NMR_Box_1_14,NMR_B1_14
2022-07-27_2884_3,NA,NMR_Box_1_15,NMR_B1_15
2022-07-27_3291_7,YES,NMR_Box_1_16,NMR_B1_16
2022-07-27_3472_12,YES,NMR_Box_1_17,NMR_B1_17
2022-07-27_3478_5,YES,NMR_Box_1_18,NMR_B1_18
2022-07-28_2963_10,NA,NMR_Box_1_19,NMR_B1_19
2022-08-04_2859_19,NA,NMR_Box_1_20,NMR_B1_20
2022-08-04_3560_15,NA,NMR_Box_1_21,NMR_B1_21
2022-08-04_3565_14,NA,NMR_Box_1_22,NMR_B1_22
2022-08-04_3242_5,NA,NMR_Box_1_23,NMR_B1_23
2022-12-08_3790_20,NA,NMR_Box_1_24,NMR_B1_24
2022-07-27_3149_9,NA,NMR_Box_1_25,NMR_B1_25
2022-12-08_3786_3,YES,NMR_Box_1_26,NMR_B1_26
2022-12-08_3794_5,YES,NMR_Box_1_27,NMR_B1_27
2022-12-08_3866_15,YES,NMR_Box_1_28,NMR_B1_28
2022-12-09_3670_23,YES,NMR_Box_1_29,NMR_B1_29
2022-12-09_3773_4,YES,NMR_Box_1_30,NMR_B1_30
2022-12-13_3661_19,YES,NMR_Box_1_31,NMR_B1_31
2022-12-13_3789_9,YES,NMR_Box_1_32,NMR_B1_32
2022-03-26_2941_16,YES,NMR_Box_1_33,NMR_B1_33
2022-07-18_3467_12,YES,NMR_Box_1_34,NMR_B1_34
2022-07-18_3474_11,YES,NMR_Box_1_35,NMR_B1_35
2022-07-19_2840_6,YES,NMR_Box_1_36,NMR_B1_36
2022-07-22_2782_8,YES,NMR_Box_1_37,NMR_B1_37
2022-03-30_2705_23,NA,NMR_Box_1_38,NMR_B1_38
2022-06-24_3153_17,YES,NMR_Box_1_39,NMR_B1_39
2022-06-24_3189_21,NA,NMR_Box_1_40,NMR_B1_40
2022-06-25_3301_20,YES,NMR_Box_1_41,NMR_B1_41
2022-07-27_3460_14,NA,NMR_Box_1_42,NMR_B1_42
2022-07-23_3431_2,YES,NMR_Box_1_43,NMR_B1_43
2022-07-27_3293_13,YES,NMR_Box_1_44,NMR_B1_44
2022-07-27_3475_15,YES,NMR_Box_1_45,NMR_B1_45
2022-07-28_2659_6,NA,NMR_Box_1_46,NMR_B1_46
2022-07-28_3318_7,NA,NMR_Box_1_47,NMR_B1_47
2022-08-03_2648_10,NA,NMR_Box_1_48,NMR_B1_48
2022-08-03_2767_13,NA,NMR_Box_1_49,NMR_B1_49
2022-08-03_3031_4,NA,NMR_Box_1_50,NMR_B1_50
2022-08-03_3173_7,NA,NMR_Box_1_51,NMR_B1_51
2022-08-03_3187_3,NA,NMR_Box_1_52,NMR_B1_52
2022-08-03_3309_5,NA,NMR_Box_1_53,NMR_B1_53
2022-08-03_3451_11,NA,NMR_Box_1_54,NMR_B1_54
2022-08-04_3497_13,NA,NMR_Box_1_55,NMR_B1_55
2022-12-10_3669_19,YES,NMR_Box_1_56,NMR_B1_56
2022-12-10_3791_4,YES,NMR_Box_1_57,NMR_B1_57
2022-12-10_3812_21,YES,NMR_Box_1_58,NMR_B1_58
2022-12-10_3838_5,NA,NMR_Box_1_59,NMR_B1_59
2022-12-10_3841_16,YES,NMR_Box_1_60,NMR_B1_60
2022-12-10_3856_2,YES,NMR_Box_1_61,NMR_B1_61
2022-12-10_3776_10,YES,NMR_Box_1_62,NMR_B1_62
2022-12-10_3843_20,YES,NMR_Box_1_63,NMR_B1_63
2022-12-10_3854_24,YES,NMR_Box_1_64,NMR_B1_64
2022-12-10_3861_11,YES,NMR_Box_1_65,NMR_B1_65
2022-06-23_3185_2,YES,NMR_Box_1_66,NMR_B1_66
2022-06-26_3346_6,YES,NMR_Box_1_67,NMR_B1_67
2022-07-18_3429_5,YES,NMR_Box_1_68,NMR_B1_68
2022-07-18_3450_4,YES,NMR_Box_1_69,NMR_B1_69
2022-07-18_3454_3,YES,NMR_Box_1_70,NMR_B1_70
2022-07-18_3456_10,YES,NMR_Box_1_71,NMR_B1_71
2022-07-18_3468_9,YES,NMR_Box_1_72,NMR_B1_72
2022-07-19_2974_5,YES,NMR_Box_1_73,NMR_B1_73
2022-07-18_3481_14,NA,NMR_Box_1_74,NMR_B1_74
2022-07-19_3415_8,YES,NMR_Box_1_75,NMR_B1_75
2022-07-19_3434_2,YES,NMR_Box_1_76,NMR_B1_76
2022-07-19_3435_3,YES,NMR_Box_1_77,NMR_B1_77
2022-07-19_3469_15,YES,NMR_Box_1_78,NMR_B1_78
2022-07-19_3470_11,YES,NMR_Box_1_79,NMR_B1_79
2022-07-20_2907_16,YES,NMR_Box_1_80,NMR_B1_80
2022-07-20_2931_13,YES,NMR_Box_1_81,NMR_B1_81
2022-12-09_3777_2,YES,NMR_Box_2_1,NMR_B2_1
2022-12-14_3807_6,YES,NMR_Box_2_2,NMR_B2_2
2022-12-12_3637_13,YES,NMR_Box_2_3,NMR_B2_3
2022-12-09_3862_18,YES,NMR_Box_2_4,NMR_B2_4
2022-12-09_3821_21,YES,NMR_Box_2_5,NMR_B2_5
2022-12-12_3785_2,YES,NMR_Box_2_6,NMR_B2_6
2022-03-30_2712_10,NA,NMR_Box_2_7,NMR_B2_7
2022-12-12_3692_12,YES,NMR_Box_2_8,NMR_B2_8
2022-12-08_3864_2,YES,NMR_Box_2_9,NMR_B2_9
2022-12-12_3808_14,YES,NMR_Box_2_10,NMR_B2_10
2022-12-13_3788_25,YES,NMR_Box_2_11,NMR_B2_11
2022-03-30_2934_24,NA,NMR_Box_2_12,NMR_B2_12
2022-03-26_2930_11,YES,NMR_Box_2_13,NMR_B2_13
2022-03-26_2719_4,YES,NMR_Box_2_14,NMR_B2_14
2022-12-08_3845_7,YES,NMR_Box_2_15,NMR_B2_15
2022-12-08_3814_4,YES,NMR_Box_2_16,NMR_B2_16
2022-12-13_3836_7,YES,NMR_Box_2_17,NMR_B2_17
2022-12-09_3774_9,YES,NMR_Box_2_18,NMR_B2_18
2022-12-12_3852_8,YES,NMR_Box_2_19,NMR_B2_19
